"MSFT","IBM","SBUX","AAPL","GSPC","Date"
25.221621,180.258852,26.311609,73.280868,1462.420044,"2013-01-02"
24.883749,179.267358,26.488614,72.355899,1459.369995,"2013-01-03"
24.418034,178.092257,26.6417,70.340452,1466.469971,"2013-01-04"
24.372377,177.31191,26.656053,69.926686,1461.890015,"2013-01-07"
24.244533,177.064033,26.608213,70.114886,1457.150024,"2013-01-08"
24.381509,176.559117,26.134605,69.019068,1461.02002,"2013-01-09"
24.162348,177.073222,26.091549,69.874628,1472.119995,"2013-01-10"
24.500219,178.514551,26.316393,69.446185,1472.050049,"2013-01-11"
24.555009,176.834521,26.153739,66.970253,1470.680054,"2013-01-14"
24.847221,176.724359,26.062845,64.85737,1472.339966,"2013-01-15"
24.691985,176.80698,26.000653,67.549523,1472.630005,"2013-01-16"
24.883749,177.78011,26.072413,67.094384,1480.939941,"2013-01-17"
24.883749,178.532916,26.220715,66.736675,1485.97998,"2013-01-18"
24.792432,180.010975,26.306826,67.373341,1492.560059,"2013-01-22"
25.212489,187.942915,26.053277,68.606634,1494.810059,"2013-01-23"
25.230751,187.667497,26.1059,60.129739,1494.819946,"2013-01-24"
25.459042,188.172427,27.177501,58.712255,1502.959961,"2013-01-25"
25.486438,188.135697,26.79957,60.040315,1500.180054,"2013-01-28"
25.577754,187.190108,26.598644,61.166827,1507.839966,"2013-01-29"
25.431648,186.841259,26.790002,60.974629,1501.959961,"2013-01-30"
25.066382,186.42814,26.847409,60.795774,1498.109985,"2013-01-31"
25.504701,188.365209,27.201421,60.546178,1513.170044,"2013-02-01"
25.057251,187.089122,26.833058,59.037931,1495.709961,"2013-02-04"
25.11204,186.171074,26.986719,61.109438,1511.290039,"2013-02-05"
24.965934,185.322925,26.91469,61.044036,1512.119995,"2013-02-06"
24.911144,184.142878,26.823454,62.859111,1509.390015,"2013-02-07"
25.157698,185.931377,27.068351,63.766649,1517.930054,"2013-02-08"
25.44078,184.530079,26.957907,64.431195,1517.01001,"2013-02-11"
25.459042,184.41944,27.015529,62.81615,1519.430054,"2013-02-12"
25.596018,184.465539,26.809049,62.696665,1520.329956,"2013-02-13"
25.60515,184.059895,26.674594,62.640282,1521.380005,"2013-02-14"
25.577754,185.28604,26.093564,61.777047,1519.790039,"2013-02-15"
25.82635,184.677589,26.146385,61.754225,1530.939941,"2013-02-19"
25.660621,183.746448,25.598968,60.258665,1511.949951,"2013-02-20"
25.310744,182.842977,25.618174,59.884104,1502.420044,"2013-02-21"
25.559341,185.387451,26.011931,60.521796,1515.599976,"2013-02-22"
25.200258,182.087002,25.550948,59.446442,1487.849976,"2013-02-25"
25.200258,183.589724,25.584561,60.274775,1496.939941,"2013-02-26"
